Suburb,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,crime_12m,crime_rank,crime_risk_score
Babinda,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Babyl Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Back Creek (Bland),0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Maffra,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Magometon,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Hacks Ferry,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Gundamulda,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Gunderbooka,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mairjimmy,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Maitland Bar,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Manchester Square,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Gumble,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
March,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Balfours Peak,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Ballyroe,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Baerami Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Bagnoo,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Bakers Creek (Uralla),0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Marinna,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Marlow,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Marlowe,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Marom Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Maryland (Tenterfield),0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Greendale (Bega Valley),0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Maybole,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mayvale,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Green Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
McMahons Reef,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mebbin,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Woko,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Wolgan Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Wollemi,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Gragin,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Goonoo Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Goonoo Goonoo,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Goorianawa,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Melbergen,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mellool,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
