suburb_code,suburb_name,IRSD_score,IRSD_decile,IRSAD_score,IRSAD_decile
10195,Bardia,1040.061818,7,1079.752017,10
10196,Bardwell Park,1067.251672,9,1101.37544,10
10197,Bardwell Valley,1008.688154,5,1044.711059,9
10198,Barellan,943.8047427,2,920.5983795,2
10199,Bargo,1005.777923,5,973.1872124,5
10200,Barham,950.1839934,2,925.7585567,2
10202,Barkers Vale,856.2363198,1,888.8476174,1
10203,Barmedman,907.0854428,1,920.934784,2
10205,Barnsley,991.2692642,4,931.5871128,3
10206,Barooga,997.9940282,5,953.4740513,4
10207,Barraba,856.8191726,1,853.7940987,1
10208,Barrack Heights,920.6807804,2,898.9556285,2
10209,Barrack Point,1016.810135,6,1019.214658,7
10210,Barraganyatti,964.1284194,3,945.1576014,3
10211,Barragga Bay,1087.562452,10,1040.972142,8
10212,Barratta (NSW),1034.307063,7,1019.469885,7
10214,Barrengarry,1081.965723,10,1073.218292,10
10215,Barretts Creek,976.8248109,3,952.3808378,4
10216,Barringella,1073.6996,9,1046.758444,9
10217,Barrington (NSW),1001.946055,5,973.2989935,5
10219,Barry (Blayney - NSW),1040.34067,7,1011.875659,7
10221,Barwang,1009.284926,5,1004.64586,7
10222,Baryulgil,870.2996739,1,900.5306161,2
10223,Basin View,960.7884513,3,917.9854549,2
10224,Bass Hill,881.8366553,1,929.8124933,3
10225,Bassendean (NSW),1032.126235,7,1032.864137,8
10226,Batar Creek,988.6268457,4,962.0528314,4
10227,Bateau Bay,999.7516604,5,978.5868928,5
10228,Batehaven,941.1088856,2,907.6153669,2
10229,Batemans Bay,852.1876603,1,841.6728115,1
10230,Bathampton,1073.198155,9,1049.930554,9
10231,Bathurst,954.3561102,3,944.3494798,3
10232,Batlow,894.8913475,1,879.2372456,1
10233,Baulkham Hills,1084.497782,10,1111.098619,10
10234,Baw Baw (NSW),1034.3056,7,1011.10873,7
10235,Bawley Point,1053.696434,8,1004.330127,7
10237,Bayview (NSW),1083.536998,10,1111.236136,10
10238,Beacon Hill,1086.490193,10,1117.040248,10
10239,Beaconsfield (NSW),1112.845042,10,1180.554755,10
10240,Bean Creek,873.7701301,1,881.6315634,1
10241,Bearbong,1048.704975,8,1032.592035,8
10242,Beaumont (NSW),1090.11402,10,1087.259439,10
10243,Beaumont Hills,1110.878011,10,1153.273393,10
10244,Beckom,995.3787416,4,975.1818885,5
10245,Bective,1054.692569,8,1023.351546,8
10246,Bectric,1060.842308,8,1040.345633,8
10247,Bedgerabong,1045.39569,7,979.4045379,5
10248,Beechwood,985.4534241,4,942.5640801,3
10249,Beecroft,1114.836121,10,1159.336029,10
10251,Beelbangera,1048.013542,8,986.63594,6
10252,Beemunnel,1039.622273,7,1021.94441,8
10253,Bega,930.3755672,2,899.3190469,2
10254,Beggan Beggan,1002.580402,5,1004.60362,7
10255,Belanglo,1041.698142,7,1020.854981,7
10256,Belbora,980.3796499,4,936.4782659,3
10257,Belfield,974.4187564,3,1011.055278,7
10258,Belford,1078.968313,9,1081.920089,10
10259,Belfrayden,1104.020575,10,1072.929356,10
10260,Belgravia,1087.58722,10,1093.282672,10
10261,Belimbla Park,1044.992477,7,1031.439964,8
10262,Bell (NSW),1024.093732,6,1012.603301,7
10263,Bella Vista,1116.158147,10,1167.471389,10
10264,Bellambi,845.7407716,1,868.6514403,1
10265,Bellangry,954.7926255,3,940.6728518,3
10266,Bellata,980.1699443,4,970.8803591,5
10267,Bellawongarah,1150.076495,10,1172.866456,10
10268,Bellbird,914.9541341,2,883.8499304,1
10269,Bellbird Heights,932.9929224,2,902.2506055,2
10270,Bellbrook,818.6799459,1,856.4516336,1
10271,Bellevue Hill,1119.590755,10,1181.423028,10
10272,Bellimbopinni,966.6079112,3,941.395262,3
10273,Bellingen,973.8457202,3,963.4914076,4
10274,Bellmount Forest,1081.628897,10,1061.084623,9
10275,Belltrees,1045.53629,7,1015.328926,7
10276,Belmont (NSW),971.7074271,3,956.8262058,4
10277,Belmont North,999.1421735,5,968.0453102,4
10278,Belmont South,919.5583453,2,891.3946412,2
10279,Belmore,914.0641189,2,959.6443955,4
10280,Belmore River,967.6129553,3,931.6285059,3
10281,Beloka,1074.1441,9,1035.262385,8
10282,Belowra,1024.831443,6,929.4223271,3
10283,Belrose,1097.877011,10,1132.246743,10
10284,Bemboka,945.3022109,2,914.9127063,2
10285,Ben Bullen,939.1450232,2,914.3648935,2
10286,Ben Lomond (NSW),1008.260493,5,993.8928857,6
10287,Benandarah,1021.222913,6,976.1071924,5
10288,Bendalong,1053.221785,8,992.687877,6
10289,Bendemeer,948.0118707,2,925.1765698,2
10290,Bendick Murrell,995.8460163,4,973.0440826,5
10291,Bendolba,951.2903403,2,918.6447722,2
10292,Bendoura,1050.669512,8,1035.907711,8
10293,Benerembah,1033.816694,7,1009.470479,7
10294,Bengalla,1009.42172,5,962.4838302,4
10296,Benolong,1060.058892,8,1032.425474,8
10297,Bensville,1078.046312,9,1056.708742,9
10298,Bentley (NSW),1027.751087,6,977.7852314,5
10299,Berala,875.4588098,1,940.434968,3
10300,Berambing,1066.745429,9,1054.996063,9
10301,Beresfield,921.4367596,2,880.3029244,1
10302,Bergalia,1053.966229,8,997.0647077,6
10303,Berkeley,885.1104088,1,877.0132718,1
10304,Berkeley Vale,1001.686288,5,967.7019592,4
10305,Berkshire Park,990.032715,4,970.4619598,5
10307,Bermagui,981.6180166,4,943.6016332,3
10308,Berowra,1106.927999,10,1123.034497,10
10309,Berowra Heights,1105.977978,10,1105.97013,10
10310,Berowra Waters,1081.190161,10,1093.927624,10
10311,Berrambool,979.5268344,4,940.7068052,3
10312,Berrara,1045.094039,7,1019.857262,7
10313,Berremangra,1028.934293,6,1010.057042,7
10314,Berrico,1001.946055,5,973.2989935,5
10315,Berridale,1013.470361,5,969.7156961,5
10316,Berrigal,1036.276279,7,1002.574747,6
10317,Berrigan,919.5225201,2,894.3084319,2
10318,Berrilee,1086.037824,10,1106.010965,10
10319,Berrima,1094.493716,10,1089.84593,10
10320,Berringer Lake,1053.221785,8,992.687877,6
10321,Berry,1073.895048,9,1065.570018,9
10322,Berry Jerry,1065.13862,9,1051.83385,9
10323,Berry Mountain,1150.076495,10,1172.866456,10
10324,Berry Park,1027.713255,6,979.0438039,5
10325,Berthong,1060.391028,8,1030.734767,8
10326,Beryl,1028.425495,6,990.544559,6
10327,Bethungra,995.2143751,4,981.8086185,5
10328,Bevendale,1042.427242,7,1011.913796,7
10329,Beverley Park,1045.794731,7,1076.649648,10
10330,Beverly Hills,990.0911841,4,1029.497945,8
10331,Bewong,1026.73428,6,981.1545073,5
10332,Bexhill,1032.103202,7,1012.311508,7
10333,Bexley,990.7048716,4,1021.6123,7
10334,Bexley North,996.2591078,4,1043.003136,9
10335,Biala,1086.590061,10,1073.661755,10
10336,Bibbenluke,946.4348597,2,931.0252771,3
10337,Biddon,1048.704975,8,1032.592035,8
10338,Bidgeemia,1072.887506,9,1060.802859,9
10339,Bidwill (NSW),641.8339137,1,712.6417196,1
10340,Bielsdown Hills,1035.319473,7,1019.059573,7
10341,Big Hill (NSW),1026.691928,6,1020.662497,7
10342,Big Jacks Creek,1025.12344,6,1009.510261,7
10343,Big Ridge,1048.416961,8,1019.160458,7
10344,Big Springs,1103.671701,10,1089.500234,10
10345,Bigga,994.0508088,4,987.8433303,6
10346,Bilambil,1009.020316,5,977.1966009,5
10347,Bilambil Heights,1018.363634,6,989.3613314,6
10348,Bilbul,1053.251886,8,1008.991648,7
10349,Bilgola Beach,1125.203757,10,1168.833981,10
10350,Bilgola Plateau,1112.435743,10,1147.873071,10
10351,Billeroy,1110.864556,10,1105.580561,10
10352,Billilingra,1045.361394,7,1009.886939,7
10353,Billimari,1002.89415,5,993.5374705,6
10354,Billinudgel,971.853349,3,976.8473999,5
10355,Billys Creek,827.6055104,1,851.1668502,1
10356,Billywillinga,1058.104746,8,1000.643499,6
10357,Bilpin,1049.936329,8,1027.23741,8
10359,Bimbi,967.3004789,3,972.4993721,5
10360,Bimbimbie,1003.039272,5,954.7643202,4
10361,Binalong,1043.82792,7,1010.530671,7
10362,Binda,1034.673909,7,1009.204044,7
10363,Bindera,1001.946055,5,973.2989935,5
10364,Bingara,911.8241153,2,879.1582777,1
10365,Bingeebeebra Creek,948.6864853,2,910.6058256,2
10366,Bingie,1073.315574,9,1021.967544,8
10367,Bingleburra,1017.182057,6,995.153581,6
10368,Biniguy,1036.276279,7,1002.574747,6
10369,Binjura,1078.698469,9,1063.16242,9
10370,Binna Burra (NSW),1048.199282,8,1060.572351,9
10371,Binnaway,844.3955297,1,839.372926,1
10372,Binya,1074.292064,9,1046.627679,9
10373,Birchgrove,1111.341593,10,1178.443994,10
10374,Birdwood (NSW),954.7926255,3,940.6728518,3
10375,Birganbigil,1045.490017,7,1015.233152,7
10376,Birmingham Gardens,948.8084565,2,952.1124545,4
10377,Birriwa,1028.425495,6,990.544559,6
10378,Birrong,895.3744741,1,948.733496,3
10379,Bishops Bridge,1014.70929,5,992.1257401,6
10380,Bithramere,1027.236252,6,1001.234863,6
10381,Black Creek (Port Macquarie-Hastings - NSW),1053.680308,8,997.5772571,6
10382,Black Creek (Snowy Valleys - NSW),1057.876772,8,1037.386006,8
10383,Black Head,1033.634502,7,990.5319715,6
10384,Black Hill (NSW),1059.308846,8,1075.687929,10
10385,Black Hollow,1092.196899,10,1081.189721,10
10386,Black Mountain (NSW),1091.405729,10,1064.024944,9
10387,Black Range (NSW),1028.095903,6,980.2137496,5
10388,Black Springs (NSW),1037.187437,7,1014.606112,7
10389,Blackalls Park,976.251755,3,939.3173524,3
10390,Blackbutt (NSW),981.2378067,4,970.6555138,5
10391,Blackett,770.745524,1,801.7759574,1
10392,Blackheath,1016.54511,6,1010.722824,7
10393,Blackmans Flat,1017.382569,6,1000.410908,6
10394,Blackmans Point,945.2632249,2,929.960228,3
10395,Blacksmiths,965.8030303,3,935.2259213,3
10396,Blacktown,951.6795741,2,965.0325147,4
10397,Blackville,1008.022439,5,991.3390216,6
10398,Blackwall (NSW),981.2207087,4,969.1949792,4
10399,Blair Athol (NSW),1018.259963,6,1026.839939,8
10400,Blairmount,936.811479,2,947.6201053,3
10401,Blakebrook,996.9336055,4,964.5640112,4
10402,Blakehurst,1063.832574,9,1103.174787,10
10403,Blakney Creek,1042.427242,7,1011.913796,7
10404,Bland,1054.986072,8,1020.647051,7
10405,Blandford,1041.944779,7,1008.784971,7
10406,Blaxland (NSW),1062.880343,9,1060.619759,9
10407,Blaxlands Creek,934.6392653,2,915.7486645,2
10408,Blaxlands Ridge,1070.806297,9,1053.017455,9
10409,Blayney,935.2723322,2,903.2363982,2
10410,Bligh Park,996.585029,4,969.6620347,5
10411,Blighty,1024.759466,6,1019.33331,7
10412,Blowering,1060.015966,8,1026.87674,8
10413,Blue Bay,985.3936394,4,983.0529327,5
10414,Blue Haven,941.5373401,2,904.0453853,2
10415,Blue Knob,850.6582292,1,861.7347532,1
10417,Blue Nobby,992.5320181,4,982.3065511,5
10418,Blue Vale,1086.060625,10,1055.474126,9
10419,Blueys Beach,1016.182982,6,995.5346436,6
10420,Boambee,1055.979275,8,1033.47178,8
10421,Boambee East,968.2810124,3,934.1598466,3
10422,Boambolo,1092.752066,10,1098.057004,10
10423,Boat Harbour (Lismore - NSW),1099.269745,10,1074.323156,10
10424,Boat Harbour (Port Stephens - NSW),1058.67259,8,1029.930595,8
10425,Bobadah,1028.600541,6,1015.772177,7
10426,Bobin,920.4379479,2,936.7573725,3
10427,Bobs Creek,998.2256783,5,966.3259735,4
10428,Bobs Farm,993.7058885,4,939.0932067,3
10429,Bobundara,1079.220029,9,1069.711015,9
10430,Boco,1045.942479,7,1028.830948,8
10431,Bocoble,925.7225454,2,899.6398841,2
10432,Bocobra,1015.323413,6,991.4483842,6
10433,Bodalla,978.304223,3,946.3821141,3
10434,Bodangora,1065.183404,9,1048.007994,9
10435,Boeill Creek,1040.58608,7,1000.436419,6
10436,Bogan,1048.252366,8,1032.721463,8
10437,Bogan Gate,926.4088704,2,928.2478273,3
10438,Bogangar,1015.381751,6,996.3503977,6
10439,Bogee,967.2050813,3,953.3963144,4
10440,Boggabilla,757.3675917,1,818.1767067,1
10441,Boggabri,911.9108565,2,881.0191088,1
10443,Bohena Creek,1010.832614,5,975.9673795,5
10444,Bohnock,978.4625318,3,935.8272038,3
10445,Bolaro,1069.864299,9,1050.753439,9
10446,Bolivia,970.0253215,3,966.2745403,4
10447,Bolong,1076.972427,9,1056.178873,9
10448,Bolton Point,891.4613776,1,886.8806851,1
10449,Bolwarra (NSW),1065.894397,9,1043.1741,9
10450,Bolwarra Heights,1076.839982,9,1059.723101,9
10452,Bomaderry,932.5341205,2,907.6595383,2
10453,Bombah Point,1033.637808,7,985.7399964,5
10454,Bombala,952.341512,2,916.1508171,2
10455,Bombay,1050.669512,8,1035.907711,8
10456,Bombira,1113.799227,10,1114.323635,10
10457,Bombo,1026.773873,6,1036.239586,8
10458,Bombowlee,1056.987397,8,1002.209208,6
10459,Bombowlee Creek,991.2415247,4,962.1795301,4
10460,Bomen,1096.540267,10,1063.845349,9
10461,Bonalbo,798.1740102,1,811.1170914,1
10462,Bondi,1076.168655,9,1150.821798,10
10463,Bondi Beach,1085.827486,10,1165.642028,10
10465,Bondi Junction,1069.271054,9,1142.644165,10
10466,Bonnells Bay,990.6645879,4,961.0465629,4
10467,Bonnet Bay,1130.506074,10,1152.449123,10
10468,Bonny Hills,1023.454317,6,993.2823591,6
10469,Bonnyrigg,803.6814054,1,872.558698,1
10470,Bonnyrigg Heights,894.4479694,1,940.0311143,3
10471,Bonshaw (NSW),974.568617,3,979.7582602,5
10472,Bonville,1035.147282,7,1008.682882,7
10473,Booerie Creek,996.9336055,4,964.5640112,4
10474,Book Book,1109.194892,10,1085.816529,10
10475,Booker Bay,1007.805793,5,993.7897227,6
10476,Bookham,1049.29907,8,1024.485919,8
10479,Boolambayte,1033.637808,7,985.7399964,5
10480,Boolaroo,986.5970488,4,955.9817061,4
10481,Boolcarroll,1068.997788,9,1058.469433,9
10482,Booligal,1089.374277,10,1068.09944,9
10484,Boomanoomana,1106.555216,10,1082.376701,10
10485,Boomerang Beach,1016.182982,6,995.5346436,6
10486,Boomey,1092.045428,10,1072.146595,10
10487,Boomi,976.0903076,3,977.9537644,5
10488,Boomi Creek,1005.068458,5,973.9345186,5
10489,Boona Mount,1006.672257,5,1017.44218,7
10490,Boonal,1084.089701,10,1065.666698,9
10491,Boonoo Boonoo,961.6544758,3,945.4831331,3
10492,Boorabee Park,1029.023749,6,981.3386712,5
10493,Booragul,931.2421764,2,902.1004357,2
10494,Booral (NSW),1002.659672,5,978.6941289,5
10495,Boorga,1011.274309,5,993.7892261,6
10496,Boorganna,961.4160703,3,942.8583416,3
10497,Boorolong,1091.812994,10,1060.361426,9
10498,Boorook,961.6544758,3,945.4831331,3
10499,Boorooma,1088.097243,10,1069.659095,9
10500,Booroorban,1037.811671,7,1021.835995,7
