Suburb,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025
Barham,8,3,4,4,4,6,12,11,13,12,11,13
Barigan,0,0,0,0,0,0,0,0,0,0,0,0
Barkers Vale,0,0,0,0,0,1,0,0,1,1,0,3
Barmedman,2,2,4,4,5,1,2,8,3,1,3,0
Barneys Reef,1,0,0,0,0,0,0,0,0,0,0,0
Barnsley,9,5,4,4,3,8,6,7,0,6,1,6
Barooga,2,2,13,11,9,1,7,4,6,7,4,1
Barraba,7,8,6,9,7,16,8,8,6,5,10,4
Barrack Heights,30,42,31,22,42,33,35,27,40,22,35,40
Barrack Point,1,1,0,7,0,2,2,1,1,7,4,0
Barraganyatti,0,0,0,2,0,0,2,1,3,3,0,0
Barragga Bay,0,0,0,0,0,0,0,0,0,0,0,0
Barratta,0,0,0,0,0,0,0,2,0,0,0,0
Barren Grounds,0,0,0,0,0,0,0,0,0,0,0,0
Barrengarry,0,0,0,0,2,1,0,3,1,6,0,0
Barretts Creek,0,0,0,0,0,0,0,0,0,0,0,0
Barringella,0,0,0,0,0,0,0,1,0,3,0,0
Barrington,0,1,4,1,2,0,1,1,3,1,0,1
Barrington Tops,0,0,0,0,0,1,0,0,1,2,0,0
Barry (Blayney),0,1,2,0,0,0,1,0,0,0,0,0
Barwang,0,0,2,1,0,0,0,0,0,0,0,0
Baryulgil,0,0,0,0,1,0,2,0,1,0,6,0
Basin View,6,0,5,3,2,7,6,5,3,4,5,6
Bass Hill,96,99,87,78,81,82,131,116,91,67,61,66
Bassendean,0,0,0,0,0,0,0,0,0,0,0,0
Batar Creek,0,0,0,0,0,0,1,0,0,0,0,0
Bateau Bay,79,63,55,80,62,75,71,65,63,49,49,38
Batehaven,7,19,12,23,23,15,26,20,20,26,14,12
Batemans Bay,73,66,90,89,73,86,92,48,51,64,43,26
Bathampton,0,0,0,0,0,0,1,0,1,0,0,0
Bathurst,160,147,176,184,175,159,156,171,169,189,168,184
Batlow,7,6,14,10,4,5,9,6,11,5,7,1
Baulkham Hills,52,56,48,48,72,56,57,50,54,52,63,66
Baw Baw,0,0,2,1,0,1,0,1,3,1,4,1
Bawley Point,2,1,1,0,4,1,0,0,1,0,0,2
Baxters Ridge,0,0,0,0,0,0,0,0,0,0,0,0
Bayview,9,5,4,7,3,6,4,7,6,3,5,6
Beacon Hill,7,18,12,16,13,23,8,13,12,10,9,15
Beaconsfield,5,6,4,0,3,0,4,7,2,1,1,1
Bean Creek,1,1,1,0,0,1,0,0,0,0,0,0
Bearbong,0,0,2,1,0,0,1,1,0,0,0,1
Beaumont,0,0,0,0,0,0,0,0,0,0,0,0
Beaumont Hills,7,10,6,8,20,17,12,9,10,2,10,7
Beckom,0,2,1,0,0,1,0,1,1,0,2,1
Bective,2,1,2,0,0,0,0,0,0,1,0,0
Bectric,0,0,0,0,0,0,0,0,0,0,0,1
Bedgerabong,0,0,0,4,0,0,0,0,0,0,0,0
Beechwood,1,3,1,9,4,0,2,1,3,0,2,2
Beecroft,14,15,13,8,10,14,10,8,13,6,11,11
Beecroft Peninsula,0,1,0,0,0,2,2,0,0,0,0,0
Beelbangera,0,0,3,4,5,0,2,1,0,3,0,1
Beemunnel,0,0,0,0,0,0,0,0,0,0,0,0
Bega,45,34,57,54,59,40,41,46,33,33,36,31
Beggan Beggan,1,0,0,2,0,0,0,0,0,0,0,0
Belanglo,0,1,0,0,1,0,1,0,0,0,1,0
Belbora,0,0,2,0,1,0,0,0,0,0,0,0
Belfield,25,19,18,18,20,24,15,25,16,9,11,9
Belford,5,0,1,0,1,0,1,1,2,0,0,0
Belfrayden,0,0,0,0,0,0,0,0,0,0,0,0
Belgravia,0,0,0,0,0,0,1,0,0,0,0,0
Belimbla Park,1,1,2,0,1,5,0,1,0,2,1,0
Bell,0,1,2,1,0,0,1,0,0,3,1,1
Bella Vista,31,16,15,23,18,17,7,27,12,14,13,23
Bellambi,42,38,29,37,49,41,60,41,46,44,60,57
Bellangry,1,0,1,0,1,1,0,0,1,0,1,1
Bellata,0,1,2,2,0,2,1,0,2,1,2,2
Bellawongarah,0,0,0,0,0,0,0,0,0,0,0,0
Bellbird,10,9,14,20,17,18,18,25,24,11,26,21
Bellbird Heights,7,4,2,3,4,5,6,8,3,2,6,4
Bellbrook,1,4,0,4,4,5,3,7,2,5,1,9
Bellevue Hill,14,22,21,27,28,14,23,22,17,17,16,6
Bellimbopinni,1,0,0,0,0,2,4,0,0,0,0,3
Bellingen,22,26,24,29,20,32,18,22,18,30,11,11
Bellmount Forest,0,2,1,0,0,0,0,0,0,1,0,0
Belltrees,0,0,0,0,0,0,0,0,0,0,0,0
Belmont,108,133,95,78,101,83,125,133,164,121,110,55
Belmont North,22,19,17,16,30,17,32,17,38,31,17,10
Belmont South,13,11,8,4,18,6,16,9,22,21,9,7
